ACheeseForAMouse;Saya tidak ragu bahwa saudara laki-laki saya meninggalkan keju ini di sini, selalu seperti itu!
AKeyToTheCabinet;Kunci dari kamar ayah
AKitchenKey;Kunci dari dapur
APartOfAHammer;Pegangan palu
APartOfScissors;Setengah dari gunting
AStickForTheRoof;Ini akan membantu saya
Bathroom;Tentu, itu bak saya
BatteriesForTheController;Sesuatu yang berguna disini
Continue;Untuk melanjutkan
DontRemind;Tidak akan pernah
Exit;Keluar
Figure;Itu blok unit saya!
GottaCrashThisIce;Dapatkan kunci ini dari es
GottaDisassembleIt;Mari kita bermain dan membongkarnya!
GottaTightenTheCrane;Haruskah saya memutar mereka? Saya pikir ya!
Hmm;Hmm ...
ICanExtinguish;Ini adalah ember air, berguna!
ICountSoBad;Itu menarik...
IGottaPutOut;Saya harus memadamkan api ini
IHaveToTurnItOn;Saya ingin menonton kartun
InventoryIsFull;Tidak ada tempat!
ISeeTheToilet;Ada dua pintu, saya harus mengingatnya
ItCanBeOpen;Bisa dibuka
ItIsEmpty;Tidak menarikâ€¦
ItIsSoHighInHere;Ini sangat tinggi, wow
ItIsWarmInHere;Di sini sangat hangat
Kitchen;Dapur, ini dia. Tempat favorit saya!
Loading;Pemuatan...
LowerFloor;Lantai pertama
MyBeautifulRoom;Kamar yang indah ku
MyBrothersSkate;Ini adalah skate kami
MyToy;Saya suka mainan sorter bentuk saya!
NeedAKey;Aku perlu membuka benda aneh ini
No;Tidak
OK;baik
OneMoreBathroom;Itu kamar mandi tamu kami
OneMorePartOfAHammer;Bagian logam dari palu
ParentsBedroom;Kamar ibu dan ayah
RateUs;Jika Anda menyukai permainan ini, tolong beri nilai pada kami untuk 5 bintang. Terima kasih!
RewardText;Apakah Anda ingin mendapatkan petunjuk dengan menonton video yang menarik?
RewardWaitText;Video belum dimuat, coba nanti dan periksa koneksi internet Anda
SomethingTasty;Sesuatu yang lezat!
TheBucketIsEmpty;Ember itu kosong
TheClockShowsTheWrongTime;Jam ini menunjukkan waktu yang salah
TheDollWasCollected;Boneka saya telah dirakit!
TheDoorsMayBeOpen;Aku harus membuka pintu ini!
ThereIsALot;Ada banyak hal ...
ThereIsNothingHere;Bersihkan gigi dua kali sehari!
ThereIsSomethingHidden;"Bantal bagus;)"
ThereIsSomethingInTheTank;Menarik katup di sana
TheseFigures;Mari kita memasukkannya ke dalam!
ThisMouse;Tikus kesayangan saya akan membantu saya
TiltThePhone;Miringkan telepon
WhatIsInHere;Apa itu?
WhenMyBrother;Saat adikku kembali dari sekolah, dia terkejut
Yahoo;Yahoo, aku disini
Yes;Iya nih
