ACheeseForAMouse;Не сомневаюсь, что этот кусок сыра оставил тут мой братишка, вот так всегда!_MASTER
AKeyToTheCabinet;Ключ от папиной комнаты
AKitchenKey;Ключ от кухни
APartOfAHammer;Просто палка или ручка от молотка?
APartOfScissors;Половинка ножниц
AStickForTheRoof;Это поможет мне пробраться выше
Bathroom;Конечно, буду тут сегодня вечером купаться!
BatteriesForTheController;Так, тут кое что полезное
Continue;Продолжить
DontRemind;Никогда
Exit;Выход
Figure;Это мой кубик!
GottaCrashThisIce;Надо вытащить ключик из кубика льда
GottaDisassembleIt;Давай-ка сыграем и разберём эту пирамидку!
GottaTightenTheCrane;Нужно ли их вращать? Думаю да…
Hmm;Хм…
ICanExtinguish;Это ведро с водой, будет кстати!
ICountSoBad;Надо посчитать…
IGottaPutOut;Нужно потушить огонь
IHaveToTurnItOn;Хочу посмотреть мультик
InventoryIsFull;Нет места в инвентаре
ISeeTheToilet;Так, тут две двери, надо запомнить
ItCanBeOpen;Надо открыть
ItIsEmpty;Ничего интересно…
ItIsSoHighInHere;Ого, тут так высоко!
ItIsWarmInHere;Тут довольно тепло
Kitchen;Вот она - моя кухня! Обожаю её, там вон и чипсики на столе лежат
Loading;Загрузка…
LowerFloor;Первый этаж
MyBeautifulRoom;Это моя красивая комната!
MyBrothersSkate;Скейт моего братика
MyToy;Я люблю эту игрушку-сортер!
NeedAKey;Так мне нужен ключ для этой штуки…
No;Нет
OK;ОК
OneMoreBathroom;Это наша гостевая ванная комната
OneMorePartOfAHammer;Металическая штука от молотка
ParentsBedroom;Спальня мамы и папы
RateUs;Если вам понравилась эта чудесная игра, пожалуйста оцените её на 5 звёзд. Спасибо!
RewardText;Хотите получить подсказку, просмотрев интересное видео?
RewardWaitText;Видео ещё не загружено, попробуйте чуть позже и проверьте соединение с интернетом
SomethingTasty;Это что-то вкусненькое!
TheBucketIsEmpty;Корзина пуста
TheClockShowsTheWrongTime;Часы показывают неправильно
TheDollWasCollected;Моя кукла была собрана!
TheDoorsMayBeOpen;Эту дверь нужно открыть, и никак иначе!
ThereIsALot;Тут много всего…
ThereIsNothingHere;Чистите зубки, дважды в день!
ThereIsSomethingHidden;Классные подухи)
ThereIsSomethingInTheTank;Забавные крутилки тут…
TheseFigures;Вставлю-ка я сюда свои ф   игурки!
ThisMouse;Моя любимая мышка должна мне помочь
TiltThePhone;Наклони телеф   он
WhatIsInHere;Это ещё что такое?
WhenMyBrother;Когда мой брат вернулся из школы, он очень удивился
Yahoo;Ура, я снаружи!
Yes;Да



Continue;Продолжить
DontRemind;Никогда
Exit;Выход
Loading;Загрузка…
RateUs;Если вам понравилась эта чудесная игра, пожалуйста оцените её на 5 звёзд. Спасибо!
RewardText;Хотите получить подсказку, просмотрев интересное видео?
RewardWaitText;Видео ещё не загружено, попробуйте чуть позже и проверьте соединение с интернетом
No;Нет
OK;ОК
Yes;Да

ARabic


Continue; لاستكمال
DontRemind; ابدا
Exit; ىخرج
Loading;جار التحميل...
RateUs; إذا كنت تحب اللعبة، يرجى تقيم لنا لمدة 5 نجوم. شكرا لكم!
RewardText;هل ترغب في الحصول على تلميح من خلال مشاهدة الفيديو مثيرة للاهتمام؟
RewardWaitText;لم يتم تحميل الفيديو حتى الآن، حاول في وقت لاحق والتحقق من اتصال الإنترنت الخاص بك
No;لا
OK; حسنا
Yes; نعم فعلا

CHT

Continue;繼續
DontRemind;從來沒有
Exit;出口
Loading;載入中...
RateUs; 如果你喜歡這個遊戲，請評價5顆星。謝謝!
RewardText; 你想從一個有趣的視頻得到一些提示嗎？
RewardWaitText; 該視頻尚未加載，請稍後再試，並檢查您的互聯網連接。
No; 沒有
OK; 承認
Yes; 例子

CHS

Continue;继续
DontRemind;从来没有
Exit;出口
Loading;載入中...
RateUs; 如果你喜欢这个游戏，请评价5颗星。谢谢！
RewardText; 你想从一个有趣的视频得到一些提示吗？
RewardWaitText; 该视频尚未加载，请稍后再试，并检查您的互联网连接。
No; 没有
OK; 承认
Yes; 例子

CS

Continue; Pokračovat
DontRemind; Vůbec nikdy
Exit; Výstup
Loading; Načítání...
RateUs; Pokud se vám hra líbí, ohodnoťte nás za 5 hvězdiček. Děkuji!
RewardText; Chtěl byste dostat nápovědu sledováním zajímavého videa?
RewardWaitText; Video zatím není načteno, vyzkoušejte později a zkontrolujte připojení k internetu
No; Ne
OK; OK
Yes; Ano

DA

Continue; At fortsætte
DontRemind; Aldrig nogensinde
Exit; Afslut
Loading; Indlæser...
RateUs; Hvis du kunne lide spillet, bedes du bedømme os for 5 stjerner. Tak skal du have!
RewardText; Vil du gerne få en clue, ved at se interessant video?
RewardWaitText; Videoen er ikke indlæst endnu, prøv senere og tjek din internetforbindelse
No; Ingen
OK; Okay
Yes; Ja

DUTCH

Continue; Doorgaan
DontRemind; Nooit
Exit; Uitgang
Loading; Bezig met laden...
RateUs; Als je de game leuk vond, prijs ons alsjeblieft voor 5 sterren. Dank je!
RewardText; Wil je een idee krijgen door interessante video's te bekijken?
RewardWaitText; Video is nog niet geladen, probeer later en controleer je internetverbinding 
No; Nee
OK; OK
Yes; Ja

EN

Continue; Continue
DontRemind; Don't Remind
Exit; Exit
Loading; Loading...
RateUs; If you liked the game, please rate us for 5 stars. Thank you!
RewardText; Would you like get a hint by watching interesting video?
RewardWaitText; Video is not loaded yet, try later and check your internet connection 
No; No
OK; OK
Yes; Yes

FI

Continue; Jatkaa
DontRemind; Ei koskaan, ikinä
Exit; Poistuminen
Loading; Ladataan...
RateUs; Jos pidit pelin, arvostathan meille 5 tähteä. Kiitos!
RewardText; Haluatko saada vihjeen katsomalla mielenkiintoista videota?
RewardWaitText; Videota ei ole vielä ladattu, yritä myöhemmin ja tarkista internet-yhteys 
No; Ei
OK; OK
Yes; Joo

FR

Continue; Continuer
DontRemind; Jamais
Exit; Sortie
Loading; Chargement...
RateUs; Si vous avez aimé le jeu, s'il vous plaît nous évaluer pour 5 étoiles. Je vous remercie!
RewardText; Souhaitez-vous obtenir un indice en regardant une vidéo intéressante?
RewardWaitText; La vidéo n'est pas encore chargée, essayez plus tard et vérifiez votre connexion Internet 
No; Non
OK; D'accord
Yes; Oui

GE

Continue; Fortfahren
DontRemind; Noch nie
Exit; Beenden
Loading; Wird geladen ...
RateUs; Wenn Ihnen das Spiel gefallen hat, bewerten Sie uns bitte für 5 Sterne. Danke!
RewardText; Möchtest du einen Tipp bekommen, indem du dir ein interessantes Video anschaust?
RewardWaitText; Das Video ist noch nicht geladen, versuche es später und überprüfe deine Internetverbindung
No; Nein
OK; Ok
Yes; Ja

GR

Continue; Να συνεχίσει
DontRemind; Ποτέ των ποτών
Exit; Εξοδος
Loading; Φόρτωση...
RateUs; Εάν σας άρεσε το παιχνίδι, παρακαλώ μας αξιολογήστε για 5 αστέρια. Ευχαριστώ!
RewardText; Θα θέλατε να πάρετε μια υπόδειξη βλέποντας ενδιαφέρον βίντεο
RewardWaitText; Το βίντεο δεν έχει φορτωθεί ακόμη, δοκιμάστε αργότερα και ελέγξτε τη σύνδεση στο διαδίκτυο
No; Οχι
OK; Ok
Yes; Ναί

HE

Continue; להמשיך
DontRemind; לעולם לא
Exit; יְצִיאָה
Loading; טוען...
RateUs; אם אתה אוהב את המשחק, אנא דרג אותנו עבור 5 כוכבים. תודה!
RewardText; האם תרצה לקבל רמז על ידי צפייה בסרטון מעניין?
RewardWaitText; הסרטון עדיין לא נטען, נסה מאוחר יותר ובדוק את חיבור האינטרנט שלך
No; לא
OK; בסדר
Yes; כן

ID

Continue; Untuk melanjutkan
DontRemind; Tidak akan pernah
Exit; Keluar
Loading; Pemuatan...
RateUs; Jika Anda menyukai permainan ini, tolong beri nilai pada kami untuk 5 bintang. Terima kasih!
RewardText; Apakah Anda ingin mendapatkan petunjuk dengan menonton video yang menarik?
RewardWaitText;Video belum dimuat, coba nanti dan periksa koneksi internet Anda
No; Tidak
OK; Baik
Yes; Iya nih

IT

Continue; Continua
DontRemind; Mai
Exit; Uscita
Loading; Caricamento in corso...
RateUs; Se ti è piaciuto il gioco, ti preghiamo di votare per 5 stelle. Grazie! RewardText; Vorresti avere un suggerimento guardando un video interessante? RewardWaitText; Il video non è ancora stato caricato, prova più tardi e controlla la tua connessione internet
No; No
OK; OK
Yes; Sì

JP

Continue; 続ける
DontRemind; 今までにない
Exit; 出口
Loading; 読み込んでいます...
RateUs; あなたがゲームを好きなら、5つ星のために私たちを評価してください。ありがとうございました！ RewardText; 興味深いビデオを見てヒントを得たいですか？ 
RewardWaitText; 動画はまだ読み込まれていません。後で試してみて、インターネット接続を確認してください
No; いいえ
OK; OK
Yes; はい

KO

Continue; 계속하다
DontRemind; 절대로
Exit; 출구
Loading; 로드 중 ...
RateUs; 게임이 마음에 들면 별 5 개를 평가 해주세요. 고맙습니다!
RewardText; 흥미로운 비디오를 보면서 힌트를 얻으시겠습니까? 
RewardWaitText; 동영상이 아직로드되지 않았으므로 나중에 시도하고 인터넷 연결을 확인하십시오.
No; 아니
OK; 승인
Yes; 예

NO

Continue; Å fortsette
DontRemind; Aldri noen sinne
Exit; Exit
Loading; Laster ...
RateUs; Hvis du likte spillet, vær så snill å rangere oss for 5 stjerner. Takk skal du ha!
RewardText; Vil du ha et hint ved å se interessant video?
RewardWaitText; Videoen er ikke lastet ennå, prøv senere og kontroller Internett-tilkoblingen din
No; Nei
OK; OK
Yes; Ja

FA(Persian)

Continue; ادامه
DontRemind; هرگز
Exit; خروج
Loading; بارگذاری...
RateUs; اگر بازی را دوست داشتید، لطفا 5 ستاره را ارزیابی کنید. متشکرم!
RewardText;آیا می خواهید یک سرنخ را با تماشای ویدیو جالب دریافت کنید؟
RewardWaitText;ویدیو بارگیری نشده است، بعدا امتحان کنید و اتصال اینترنت خود را بررسی کنید
No; نه
OK; خوب
Yes; بله

PL

Continue; Kontynuować
DontRemind; Nigdy
Exit; Wyjście
Loading; Ładuję...
RateUs; Jeśli spodobała Ci się gra, oceń nas na 5 gwiazdek. Dziękuję Ci!
RewardText; Czy chcesz uzyskać podpowiedź, oglądając interesujące wideo?
RewardWaitText; Film nie został jeszcze załadowany, spróbuj później i sprawdź połączenie internetowe
No; Nie
OK; OK
Yes; Tak

PT

Continue; Continuar
DontRemind; Nunca
Exit; Saída
Loading; Carregando ...
RateUs; Se você gostou do jogo, avalie-nos para 5 estrelas. Obrigado!
RewardText; Gostaria de obter uma pista, assistindo a um vídeo interessante?
RewardWaitText;O vídeo ainda não está carregado, tente mais tarde e verifique sua conexão com a Internet
No; Não
OK; OK
Yes; Sim

RU

Continue; Continuar
DontRemind; Nunca
Exit; Saída
Loading; Carregando ...
RateUs; Se você gostou do jogo, avalie-nos para 5 estrelas. Obrigado!
RewardText; Gostaria de obter uma pista, assistindo a um vídeo interessante?
RewardWaitText;O vídeo ainda não está carregado, tente mais tarde e verifique sua conexão com a Internet
No; Não
OK; OK
Yes; Sim